timestamp             time              lon               lat               alt               heading           pitch             roll              vn                vh                ve                lon_sns           lat_sns           alt_sns           heading_sns       pitch_sns         roll_sns          vn_sns            vh_sns            ve_sns            dlat_rad          dlon_rad          dh_m              dVn               dVh               dVe               dpsi_rad          dtheta_rad        dphi_rad          ba_x              ba_y              ba_z              bg_x              bg_y              bg_z              dN_m              dE_m              
00:02:54.645725696    174.64572570      -122.14016515     47.64146787       123.60949234      0.05018414        0.05896276        0.02828912        -0.01236107       -0.04205782       -0.00270753       -122.14016500     47.64146800       123.64124298      -0.00000000       0.00000000        0.00000000        0.00000000        0.00001633        0.00000000        -9.06989535e-16   -2.58034606e-14   1.71692312e-10    -8.48797344e-08   -1.60672940e-12   -6.63221372e-07   4.34166223e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    -5.77843033e-09   -1.10763273e-07   
00:02:54.651725824    174.65172582      -122.14016515     47.64146787       123.60924047      0.04995686        0.05859173        0.02794832        -0.01231530       -0.04189759       -0.00256178       -122.14016500     47.64146800       123.64124298      -0.00000000       0.00000000        0.00000000        0.00000000        0.00001633        0.00000000        6.67597873e-15    -4.99705337e-14   1.04484431e-10    5.17132792e-07    -1.37736287e-10   -1.24488494e-06   9.74918195e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    4.25326605e-08    -2.14502232e-07   
00:02:54.657725952    174.65772595      -122.14016515     47.64146787       123.60898949      0.04967772        0.05867881        0.02751794        -0.01243011       -0.04176189       -0.00246795       -122.14016500     47.64146800       123.64124298      -0.00000000       0.00000000        0.00000000        0.00000000        0.00001633        0.00000000        5.35251297e-15    -8.12379789e-14   3.02863806e-10    3.76285005e-07    -1.26168415e-10   -1.95672131e-06   1.42616501e-10    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    3.41008601e-08    -3.48720065e-07   
00:02:54.663726080    174.66372608      -122.14016516     47.64146787       123.60873855      0.04970898        0.05961733        0.02751765        -0.01236458       -0.04188342       -0.00228763       -122.14016500     47.64146800       123.64124298      -0.00000000       0.00000000        0.00000000        0.00000000        0.00001633        0.00000000        -1.20825701e-14   -8.51742842e-14   7.04415507e-10    -8.58783515e-07   1.26965869e-10    -1.97907006e-06   1.14783756e-10    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    -7.69780540e-08   -3.65616948e-07   
00:02:54.840729856    174.84072986      -122.14016516     47.64146786       123.60770587      0.04992644        0.05710795        0.04503063        -0.00982271       -0.04902481       -0.00114800       -122.14016500     47.64146800       123.64124298      -0.00000000       0.00000000        0.00000000        0.00000000        0.00001633        0.00000000        -2.57861736e-10   -5.44576681e-11   -7.07146190e-03   -6.11014978e-04   -6.62033985e-04   -3.48909832e-05   1.06701975e-05    1.21375466e-05    -1.43276139e-06   -2.89621589e-06   -5.22134876e-06   -4.16591107e-07   -4.26149611e-08   -2.34378595e-07   3.58491709e-07    -1.64283712e-03   -2.33763589e-04   
00:02:54.843729920    174.84372992      -122.14016516     47.64146786       123.60755779      0.04971838        0.05736494        0.04467038        -0.00984173       -0.04902776       -0.00107330       -122.14016500     47.64146800       123.64124298      -0.00000000       0.00000000        0.00000000        0.00000000        0.00001633        0.00000000        -7.44351594e-15   -3.11787798e-14   3.24337468e-10    -4.61480178e-07   -1.73752126e-10   -6.85577794e-07   3.35200719e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    -4.74226400e-08   -1.33837231e-07   
00:02:54.849730048    174.84973005      -122.14016516     47.64146786       123.60726450      0.04880493        0.05824897        0.04432270        -0.00978800       -0.04873415       -0.00077807       -122.14016500     47.64146800       123.64124298      -0.00000000       0.00000000        0.00000000        0.00000000        0.00001633        0.00000000        -2.47530682e-14   -5.15235847e-14   7.57441378e-10    -1.44508050e-06   -2.90263597e-10   -1.09740009e-06   3.83501538e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    -1.57701798e-07   -2.21168819e-07   
00:02:54.864730368    174.86473037      -122.14016516     47.64146786       123.60653560      0.04645547        0.06218929        0.04471694        -0.00932497       -0.04845093       -0.00081041       -122.14016500     47.64146800       123.64124298      -0.00000000       0.00000000        0.00000000        0.00000000        0.00001633        0.00000000        -1.40704574e-13   -2.94303120e-14   2.58093330e-09    -7.23568960e-06   -3.62114435e-11   -5.53845350e-07   -1.20377345e-10   0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    -8.96428843e-07   -1.26331802e-07   
00:02:54.870730496    174.87073050      -122.14016516     47.64146786       123.60624457      0.04635461        0.06311139        0.04404427        -0.00918593       -0.04855561       -0.00075504       -122.14016500     47.64146800       123.64124298      -0.00000000       0.00000000        0.00000000        0.00000000        0.00001633        0.00000000        -1.71748276e-13   -7.65391723e-14   3.19583685e-09    -8.43427747e-06   -2.31131007e-10   -1.45772699e-06   -8.96173165e-11   0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    -1.09420827e-06   -3.28550089e-07   
00:02:55.032733952    175.03273395      -122.14016515     47.64146786       123.60506614      0.06366012        0.08789309        0.04340970        -0.00852998       -0.04371227       -0.00150392       -122.14016500     47.64146800       123.64124298      -0.00000000       0.00000000        0.00000000        0.00000000        0.00001633        0.00000000        -2.29720689e-10   -7.15816184e-11   -6.34338400e-03   -5.82838696e-04   -5.92119536e-04   -1.00518755e-04   1.36209564e-05    1.06506869e-05    -1.91222115e-06   -2.53184933e-06   -4.66630951e-06   -5.04739881e-07   -5.67806155e-08   -2.99032925e-07   3.14520752e-07    -1.46355051e-03   -3.07269420e-04   
00:02:55.038734080    175.03873408      -122.14016516     47.64146786       123.60480306      0.06405210        0.08815281        0.04385495        -0.00858081       -0.04338621       -0.00158554       -122.14016500     47.64146800       123.64124298      -0.00000000       0.00000000        0.00000000        0.00000000        0.00001633        0.00000000        -6.95781296e-15   2.81382370e-14    -4.80084655e-11   -3.40449644e-07   3.67111429e-10    5.55094034e-07    -3.87702837e-11   0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    -4.43282263e-08   1.20785475e-07    
00:02:55.044734208    175.04473421      -122.14016516     47.64146786       123.60454248      0.06377214        0.08802328        0.04498450        -0.00872191       -0.04347016       -0.00162635       -122.14016500     47.64146800       123.64124298      -0.00000000       0.00000000        0.00000000        0.00000000        0.00001633        0.00000000        -2.85055433e-15   1.28880306e-13    -6.34182822e-10   -1.19611679e-07   1.52626936e-09    2.47453712e-06    -1.48944818e-10   0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    -1.81608816e-08   5.53228297e-07    
00:02:55.062734592    175.06273459      -122.14016516     47.64146786       123.60375007      0.06396966        0.08734989        0.04341986        -0.00895822       -0.04457403       -0.00169095       -122.14016500     47.64146800       123.64124298      -0.00000000       0.00000000        0.00000000        0.00000000        0.00001633        0.00000000        2.14341247e-14    5.00134951e-15    -2.99702998e-10   9.05070217e-07    3.83593064e-11    6.43900493e-08    9.80917980e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.36556809e-07    2.14686646e-08    
00:02:55.224738048    175.22473805      -122.14016516     47.64146787       123.60334019      0.06963888        0.05713188        0.01583764        -0.01669062       -0.05068169       0.00531727        -122.14016500     47.64146800       123.64124298      -0.00000000       0.00000000        0.00000000        0.00000000        0.00001633        0.00000000        -4.40539311e-10   1.84373852e-10    -7.36172448e-03   -1.00939113e-03   -6.88001692e-04   2.83330668e-04    1.49265122e-05    2.11144086e-05    6.71539712e-06    -4.90104831e-06   -5.41696008e-06   1.45511986e-06    1.97966677e-07    -3.27849353e-07   6.23491299e-07    -2.80667595e-03   7.91438469e-04    
00:02:55.230738176    175.23073818      -122.14016516     47.64146786       123.60303331      0.06983727        0.05648074        0.01533898        -0.01714187       -0.05092103       0.00563644        -122.14016500     47.64146800       123.64124298      -0.00000000       0.00000000        0.00000000        0.00000000        0.00001633        0.00000000        2.33298513e-14    -4.30964905e-14   -2.48813075e-10   9.93175570e-07    5.78552029e-10    -7.83961039e-07   5.47710392e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.48634483e-07    -1.84994890e-07   
00:02:55.239738368    175.23973837      -122.14016516     47.64146786       123.60257397      0.06993238        0.05496211        0.01497923        -0.01784215       -0.05115299       0.00569276        -122.14016500     47.64146800       123.64124298      -0.00000000       0.00000000        0.00000000        0.00000000        0.00001633        0.00000000        7.99534514e-14    -7.58946530e-14   -1.00407566e-09   3.22580548e-06    2.09580771e-09    -1.33705873e-06   1.18074244e-10    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.09383439e-07    -3.25783441e-07   
00:02:55.245738496    175.24573850      -122.14016516     47.64146786       123.60226695      0.06978664        0.05482656        0.01405810        -0.01811112       -0.05118481       0.00572986        -122.14016500     47.64146800       123.64124298      -0.00000000       0.00000000        0.00000000        0.00000000        0.00001633        0.00000000        9.08043661e-14    -1.93746565e-13   -7.52377652e-10   3.52204969e-06    2.08169006e-09    -3.32753417e-06   2.20258698e-10    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.78514616e-07    -8.31671539e-07   
00:02:55.251738624    175.25173862      -122.14016516     47.64146786       123.60196008      0.06976153        0.05466651        0.01410207        -0.01810754       -0.05110084       0.00581651        -122.14016500     47.64146800       123.64124298      -0.00000000       0.00000000        0.00000000        0.00000000        0.00001633        0.00000000        1.04402136e-13    -1.94630702e-13   -8.96337315e-10   3.91114572e-06    2.36185285e-09    -3.26542924e-06   2.23515758e-10    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    6.65146005e-07    -8.35466760e-07   
00:02:55.416742144    175.41674214      -122.14016515     47.64146786       123.60061530      0.06276144        0.05722062        0.02035478        -0.02008906       -0.04596140       0.00129125        -122.14016500     47.64146800       123.64124298      -0.00000000       0.00000000        0.00000000        0.00000000        0.00001633        0.00000000        -5.37783123e-10   3.65877186e-11    -6.71467655e-03   -1.29529809e-03   -6.26039839e-04   8.89772960e-05    1.34497712e-05    2.54821457e-05    1.62558350e-06    -5.94512511e-06   -4.92255295e-06   3.07940534e-07    4.76910927e-08    -2.95592883e-07   7.52180521e-07    -3.42621628e-03   1.57055503e-04    
00:02:55.419742208    175.41974221      -122.14016515     47.64146786       123.60047661      0.06265894        0.05658178        0.02025362        -0.02027992       -0.04587168       0.00125801        -122.14016500     47.64146800       123.64124298      -0.00000000       0.00000000        0.00000000        0.00000000        0.00001633        0.00000000        1.96743933e-14    -7.84521746e-15   -2.49236524e-10   7.63617802e-07    6.20363605e-10    -1.36567165e-07   1.52276120e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.25345560e-07    -3.36761793e-08   
