time              dlat_rad          dlon_rad          dh_m              dVn               dVh               dVe               dpsi_rad          dtheta_rad        dphi_rad          ba_x              ba_y              ba_z              bg_x              bg_y              bg_z              dN_m              dE_m              
7.64116301e+00    -2.77010856e-10   2.56916239e-10    1.49793348e-02    -1.00751410e-03   4.36266397e-03    5.97557589e-04    1.44917809e-05    2.09021392e-05    1.22019996e-05    -1.65202035e-05   3.19569758e-04    9.59778739e-06    3.37407180e-07    -6.51288162e-08   5.78980471e-07    -1.76483617e-03   1.10283206e-03    
7.65016320e+00    -2.36259716e-10   2.19219184e-10    1.36663687e-02    -8.81680376e-04   4.08505597e-03    5.14579870e-04    1.36898913e-05    1.84638590e-05    1.07532830e-05    -1.47189043e-05   2.99660871e-04    8.52612380e-06    2.97185306e-07    -6.16987647e-08   5.11164401e-07    -1.50521065e-03   9.41014646e-04    
7.83916723e+00    -2.78741667e-10   2.41776356e-10    1.31187000e-02    -1.00405713e-03   3.74414338e-03    5.59466350e-04    2.09692369e-05    2.09668497e-05    1.14232297e-05    -1.71207617e-05   2.82146522e-04    9.24447228e-06    3.31457378e-07    -1.00017459e-07   6.08867273e-07    -1.77586316e-03   1.03784299e-03    
8.04317158e+00    -3.82555948e-10   2.14269438e-10    1.28014529e-02    -1.33110451e-03   3.49376158e-03    4.53984231e-04    1.80773611e-05    2.80654922e-05    9.59137303e-06    -2.34332338e-05   2.70173127e-04    7.89945746e-06    2.91360929e-07    -9.10742102e-08   8.54477136e-07    -2.43726394e-03   9.19767492e-04    
8.23817574e+00    -5.46275864e-10   1.12445386e-11    1.37321574e-02    -1.83437388e-03   3.72787442e-03    -5.56377745e-05   1.87411436e-05    3.97456323e-05    -1.12880752e-06   -3.37319527e-05   2.94729825e-04    -1.16457957e-06   -3.67896816e-08   -9.86893453e-08   1.26137835e-06    -3.48032353e-03   4.82680179e-05    
8.42717978e+00    -6.54983242e-10   -6.18035982e-11   1.31128859e-02    -2.20988190e-03   3.41775889e-03    -1.97043056e-04   1.47992410e-05    4.59771542e-05    -5.03136299e-06   -3.89426184e-05   2.75360457e-04    -4.50568715e-06   -1.66943550e-07   -8.11948604e-08   1.51955213e-06    -4.17289823e-03   -2.65296541e-04   
8.61318374e+00    -6.49892910e-10   6.37772367e-11    1.28943007e-02    -2.11669936e-03   3.27246507e-03    7.00990835e-05    1.44241983e-05    4.44840233e-05    1.88009713e-06    -3.75901951e-05   2.68000553e-04    1.39857592e-06    6.34823954e-08    -8.34238908e-08   1.52437761e-06    -4.14046773e-03   2.73768531e-04    
8.80218778e+00    -6.97908419e-10   1.65331767e-10    1.32225165e-02    -2.26648175e-03   3.32223651e-03    3.17996775e-04    6.70988136e-06    4.63862292e-05    6.60524939e-06    -3.86941477e-05   2.76080008e-04    5.36622857e-06    2.33082720e-07    -3.99429983e-08   1.64677065e-06    -4.44637454e-03   7.09698902e-04    
8.98219162e+00    -5.78201561e-10   1.21280551e-10    1.33903946e-02    -1.78993986e-03   3.32974276e-03    1.97293510e-04    7.20669214e-06    3.72960408e-05    4.57893145e-06    -3.08418723e-05   2.80109815e-04    3.66483384e-06    1.65768165e-07    -4.51154239e-08   1.36419540e-06    -3.68372215e-03   5.20605783e-04    
9.16819558e+00    -3.60438592e-10   2.82882582e-10    1.30680532e-02    -1.03818828e-03   3.16943810e-03    5.30223059e-04    8.40227670e-06    2.09102261e-05    1.24239156e-05    -1.73622677e-05   2.69572298e-04    1.03311030e-05    4.63928871e-07    -5.63444433e-08   7.85039169e-07    -2.29635427e-03   1.21429452e-03    
9.18619597e+00    -3.12883930e-10   2.82375165e-10    1.21133159e-02    -8.95985418e-04   2.98222644e-03    5.88942880e-04    7.75896981e-06    1.83992124e-05    1.20895361e-05    -1.56511347e-05   2.53940681e-04    1.03040677e-05    4.50660826e-07    -5.22615711e-08   6.89452504e-07    -1.99338352e-03   1.21211639e-03    
