time              lon               lat               alt               heading           pitch             roll              vn                vh                ve                
440.78140314      -122.13954353     47.64366542       274.13073478      94.16426376       -0.23105028       -0.01574972       0.00434018        0.08285432        2.95118439        
440.90140570      -122.13953881     47.64366542       274.12911763      94.16220218       -0.23445336       -0.04641657       -0.00228662       0.07308441        2.94911000        
440.90740582      -122.13953858     47.64366542       274.12955803      94.16158832       -0.23435324       -0.04615456       -0.00247750       0.07275906        2.94916096        
440.91340595      -122.13953834     47.64366542       274.12999419      94.16134197       -0.23416224       -0.04623231       -0.00229603       0.07262431        2.94923696        
441.02140826      -122.13953409     47.64366542       274.12705582      94.16150455       -0.23790106       -0.04526727       -0.00146019       0.07069115        2.94791838        
441.02740838      -122.13953386     47.64366542       274.12748261      94.16160585       -0.23868360       -0.04518418       -0.00143681       0.07064710        2.94760338        
441.03040845      -122.13953374     47.64366542       274.12769439      94.16181790       -0.23889701       -0.04493801       -0.00145311       0.07053917        2.94746576        
441.03940864      -122.13953339     47.64366542       274.12832918      94.16216437       -0.23961215       -0.04450689       -0.00140885       0.07052151        2.94717544        
441.04540877      -122.13953315     47.64366542       274.12875228      94.16206270       -0.24013697       -0.04448826       -0.00125739       0.07051079        2.94686914        
441.05440896      -122.13953280     47.64366542       274.12938579      94.16174698       -0.23944049       -0.04397276       -0.00113678       0.07026714        2.94687019        
441.17141146      -122.13952820     47.64366542       274.12701050      94.15714518       -0.23927208       -0.04207862       -0.00183235       0.06956583        2.95117380        
441.17441152      -122.13952809     47.64366542       274.12722060      94.15705373       -0.23911431       -0.04229565       -0.00189702       0.06958757        2.95121032        
441.19841203      -122.13952714     47.64366541       274.12889341      94.15479683       -0.23849890       -0.04212845       -0.00234668       0.06981048        2.95084579        
441.29141402      -122.13952349     47.64366541       274.12480355      94.14705933       -0.24203368       -0.03265405       0.00181322        0.06992806        2.94831777        
441.29441408      -122.13952337     47.64366541       274.12501477      94.14668970       -0.24173097       -0.03275488       0.00194914        0.06997566        2.94839568        
441.30641434      -122.13952289     47.64366541       274.12585553      94.14560099       -0.24226747       -0.03229806       0.00187772        0.07014801        2.94853421        
441.41741670      -122.13951853     47.64366540       274.12325984      94.14049529       -0.23166453       -0.01951071       0.00289166        0.06673314        2.94831529        
441.42341683      -122.13951829     47.64366540       274.12366220      94.13949199       -0.23194205       -0.02008453       0.00288985        0.06651022        2.94825739        
441.42641690      -122.13951818     47.64366540       274.12386167      94.13914918       -0.23173712       -0.01998024       0.00287570        0.06646616        2.94823150        
441.43241702      -122.13951794     47.64366540       274.12426066      94.13940286       -0.23166719       -0.02050700       0.00291391        0.06653115        2.94826863        
441.43841715      -122.13951770     47.64366540       274.12465977      94.13946377       -0.23122017       -0.02002776       0.00310238        0.06650126        2.94820471        
441.44441728      -122.13951747     47.64366540       274.12505816      94.13886108       -0.23175263       -0.02025613       0.00319659        0.06629451        2.94814289        
441.54341939      -122.13951358     47.64366540       274.12178672      94.14117257       -0.23998422       -0.02879419       -0.00094075       0.06185122        2.94716650        
441.54941952      -122.13951334     47.64366540       274.12215938      94.14173738       -0.24026955       -0.02941302       -0.00129903       0.06155103        2.94714715        
441.57041997      -122.13951251     47.64366540       274.11399884      94.14204046       -0.24118999       -0.02921800       -0.00147699       0.06114818        2.94718006        
441.66042189      -122.13950897     47.64366540       274.11966745      94.13805146       -0.23351608       -0.03201312       0.00012598        0.06402045        2.94815324        
441.66642202      -122.13950873     47.64366540       274.12005142      94.13742983       -0.23317985       -0.03321978       -0.00018542       0.06396968        2.94813911        
441.67842227      -122.13950826     47.64366540       274.12082137      94.13566785       -0.23217948       -0.03300461       -0.00054751       0.06435126        2.94818510        
441.68742246      -122.13950790     47.64366539       274.11166329      94.13633799       -0.23216604       -0.03364133       -0.00033179       0.06375159        2.94850344        
441.69342259      -122.13950766     47.64366539       274.11204831      94.13660538       -0.23305146       -0.03297892       -0.00030895       0.06376272        2.94834555        
441.78042445      -122.13950424     47.64366539       274.11759173      94.13724044       -0.23682775       -0.02635995       0.00300689        0.06366956        2.94439813        
441.78642458      -122.13950400     47.64366539       274.11797377      94.13700671       -0.23624449       -0.02665624       0.00304229        0.06367432        2.94447322        
441.79242470      -122.13950377     47.64366539       274.11835614      94.13674213       -0.23540179       -0.02650273       0.00291842        0.06378026        2.94481071        
441.80442496      -122.13950330     47.64366540       274.11912504      94.13710582       -0.23474838       -0.02699265       0.00274950        0.06436747        2.94501757        
441.81042509      -122.13950306     47.64366540       274.11951205      94.13692019       -0.23418502       -0.02732223       0.00271791        0.06463036        2.94497180        
441.90042701      -122.13949953     47.64366539       274.11530407      94.12632572       -0.24312125       -0.02679349       0.00210425        0.06659746        2.94530360        
441.90342707      -122.13949941     47.64366539       274.11550539      94.12620963       -0.24296722       -0.02659409       0.00211059        0.06674740        2.94541512        
441.91242726      -122.13949905     47.64366539       274.11610490      94.12743667       -0.24370424       -0.02686627       0.00222614        0.06647425        2.94555419        
442.02342963      -122.13949469     47.64366539       274.11390720      94.14252141       -0.24059713       -0.02435349       0.00222978        0.05822559        2.94344913        
442.02942976      -122.13949445     47.64366539       274.11425811      94.14252893       -0.24104509       -0.02456580       0.00201968        0.05797756        2.94343994        
442.03842995      -122.13949410     47.64366539       274.11477878      94.14204291       -0.24140717       -0.02452152       0.00164064        0.05772437        2.94346345        
442.04143002      -122.13949398     47.64366539       274.11495199      94.14176317       -0.24137539       -0.02447774       0.00155741        0.05774560        2.94351023        
442.05043021      -122.13949362     47.64366538       274.10656807      94.14082273       -0.24214468       -0.02424884       0.00156537        0.05693186        2.94396786        
442.05643034      -122.13949338     47.64366538       274.10691165      94.14032406       -0.24230467       -0.02487110       0.00152899        0.05685133        2.94408339        
442.14643226      -122.13948984     47.64366538       274.10340394      94.14046604       -0.23398874       -0.01916785       -0.00030106       0.05400254        2.94798835        
442.15243238      -122.13948960     47.64366538       274.10372930      94.14034745       -0.23310620       -0.01934343       -0.00064909       0.05374383        2.94844858        
442.15843251      -122.13948937     47.64366538       274.10405165      94.14009902       -0.23311258       -0.01909095       -0.00088334       0.05370219        2.94868943        
442.26943488      -122.13948500     47.64366538       274.10996816      94.12958235       -0.24380234       -0.00999345       0.00086156        0.05289977        2.94560220        
442.27543501      -122.13948476     47.64366537       274.10199353      94.13004827       -0.24408226       -0.00900140       0.00123382        0.05199003        2.94577152        
442.28143514      -122.13948452     47.64366537       274.10230698      94.13031037       -0.24365081       -0.00905560       0.00155929        0.05181054        2.94600800        
442.28743526      -122.13948428     47.64366537       274.10261755      94.13080579       -0.24295939       -0.00957131       0.00158607        0.05171186        2.94626812        
442.37743718      -122.13948074     47.64366537       274.10714223      94.13668091       -0.23312206       -0.01169893       0.00163671        0.04883376        2.94932896        
442.38643738      -122.13948039     47.64366537       274.10758015      94.13705282       -0.23420205       -0.01121973       0.00191808        0.04847975        2.94919083        
442.49443968      -122.13947614     47.64366536       274.10505575      94.14517648       -0.24420912       -0.00326499       0.00728796        0.04581325        2.94485704        
442.50043981      -122.13947591     47.64366537       274.10533240      94.14517782       -0.24417767       -0.00274113       0.00751702        0.04578638        2.94480712        
442.52144026      -122.13947508     47.64366537       274.10630738      94.14446117       -0.24532524       -0.00237678       0.00795336        0.04706822        2.94441117        
442.61744230      -122.13947130     47.64366536       274.10266217      94.14696096       -0.23425289       -0.00706278       0.00762961        0.05320497        2.94502943        
442.62344243      -122.13947106     47.64366536       274.10298409      94.14742914       -0.23349689       -0.00762890       0.00750347        0.05339761        2.94528511        
442.62644250      -122.13947095     47.64366536       274.10314438      94.14741253       -0.23330690       -0.00819439       0.00738115        0.05346537        2.94529773        
442.63244262      -122.13947071     47.64366536       274.10346555      94.14694021       -0.23328933       -0.00755145       0.00735290        0.05358716        2.94514884        
442.63844275      -122.13947048     47.64366536       274.10378760      94.14662094       -0.23330374       -0.00664215       0.00755286        0.05376228        2.94496304        
442.64444288      -122.13947024     47.64366536       274.10411077      94.14674345       -0.23237888       -0.00516034       0.00789239        0.05395619        2.94492985        
442.65044301      -122.13947000     47.64366536       274.10443462      94.14730652       -0.23215398       -0.00558093       0.00799718        0.05399188        2.94489637        
442.76444544      -122.13946552     47.64366537       274.11053896      94.14708956       -0.23687712       -0.00906928       0.00659371        0.05309980        2.94185159        
442.79144602      -122.13946446     47.64366537       274.11198698      94.14543168       -0.23890536       -0.01066300       0.00658799        0.05415943        2.94182278        
442.88744806      -122.13946069     47.64366537       274.10779840      94.14932171       -0.23615634       -0.01021623       0.00563904        0.06430568        2.94551600        
442.90844851      -122.13945987     47.64366537       274.10917747      94.15041197       -0.23630746       -0.00975403       0.00577020        0.06618878        2.94620937        
442.91444864      -122.13945963     47.64366537       274.10957546      94.15031544       -0.23741518       -0.00947641       0.00569954        0.06647241        2.94587553        
443.01345075      -122.13945573     47.64366536       274.10605965      94.14580295       -0.25075395       0.00634275        0.00872688        0.06621824        2.93749470        
