#timestamp [ns]	latitude [deg]	longitude [deg]	altitude [m]	v_x [m s^-1]	v_y [m s^-1]	v_z [m s^-1]
00:06:17.657056512	47.642543364451996	-122.1401649996045	273.2738952636719	2.9500651359558105	-0.003012389410287142	7.846611538298021e-07
00:06:17.783059200	47.64254670747159	-122.1401649996033	273.27325439453125	2.9500651359558105	-0.003012389410287142	6.415395432668447e-07
00:06:17.909061888	47.64255005049119	-122.14016499960233	273.27264404296875	2.9500651359558105	-0.003012107452377677	4.881116524302342e-07
00:06:17.951062784	47.64255116483105	-122.14016499960208	273.2724304199219	2.9500651359558105	-0.0030121367890387774	4.3467878185765585e-07
00:06:18.077065472	47.64255450785064	-122.14016499960147	273.27178955078125	2.9500651359558105	-0.0030123810283839703	2.6750947768050537e-07
00:06:18.182067712	47.6425572937003	-122.14016499960118	273.2712707519531	2.9500651359558105	-0.0030123810283839703	1.2032900542635616e-07
00:06:18.308070400	47.642560636719885	-122.14016499960114	273.2706298828125	2.9500651359558105	-0.0030123628675937653	-6.567027099890765e-08
00:06:18.434073088	47.64256397973947	-122.1401649996014	273.2699890136719	2.9500651359558105	-0.0030123069882392883	-2.4751778937570634e-07
00:06:18.560075776	47.642567322759064	-122.14016499960195	273.26934814453125	2.9500651359558105	-0.0030123558826744556	-4.0323391203855863e-07
00:06:18.686078464	47.64257066577865	-122.14016499960272	273.26873779296875	2.9500651359558105	-0.0030123558826744556	-4.92363824378117e-07
00:06:18.812081152	47.642574008798235	-122.14016499960356	273.2680969238281	2.9500651359558105	-0.003012103261426091	-5.110383654027828e-07
00:06:18.812081152	47.642574008798235	-122.14016499960356	273.2680969238281	2.9500651359558105	-0.003012103261426091	-5.110383654027828e-07
00:06:18.938083840	47.64257735181782	-122.1401649996044	273.2674560546875	2.9500651359558105	-0.003012304659932852	-4.784050702255627e-07
00:06:19.064086528	47.6425806948374	-122.14016499960516	273.2668151855469	2.9500651359558105	-0.0030123754404485226	-4.290520791982999e-07
00:06:19.190089216	47.642584037856984	-122.14016499960584	273.2662048339844	2.9500651359558105	-0.0030123754404485226	-3.734454026016465e-07
00:06:19.337092352	47.64258793804649	-122.1401649996065	273.26544189453125	2.9500651359558105	-0.003012348897755146	-3.0090058089626837e-07
00:06:19.358092800	47.64258849521643	-122.14016499960658	273.2653503417969	2.9500651359558105	-0.003012333530932665	-2.9069676088511187e-07
00:06:19.463095040	47.64259128106608	-122.14016499960697	273.26483154296875	2.9500651359558105	-0.003012333530932665	-2.474332632118603e-07
00:06:19.589097728	47.64259462408566	-122.14016499960734	273.2641906738281	2.9500651359558105	-0.003012333530932665	-2.0395324895616795e-07
00:06:19.799102208	47.64260019578495	-122.14016499960778	273.26312255859375	2.9500651359558105	-0.0030121291056275368	-1.1548621614565491e-07
00:06:19.799102208	47.64260019578495	-122.14016499960778	273.26312255859375	2.9500651359558105	-0.0030121291056275368	-1.1548621614565491e-07
00:06:19.946105344	47.64260409597445	-122.14016499960798	273.26239013671875	2.9500651359558105	-0.0030123263131827116	-8.867060330430832e-08
00:06:20.072108032	47.64260743899403	-122.1401649996081	273.2617492675781	2.9500651359558105	-0.0030123626347631216	-7.130518753228898e-08
00:06:20.219111168	47.64261133918352	-122.14016499960823	273.2610168457031	2.9500651359558105	-0.0030123444739729166	-4.99032317691217e-08
00:06:20.240111616	47.64261189635345	-122.14016499960823	273.26092529296875	2.9500651359558105	-0.0030123444739729166	-4.77845922830511e-08
