time           lon            lat            alt            heading        pitch          roll           vn             vh             ve             
0.56134700     -122.14016513  47.64146792    117.22584461   4.89446158     -0.00686020    0.00475559     -0.00142376    -0.08195727    -0.00163392    
0.56855100     -122.14016513  47.64146792    117.22525562   4.89439489     -0.00750541    0.00477189     -0.00133894    -0.08155998    -0.00186871    
0.57159900     -122.14016513  47.64146792    117.22500741   4.89446452     -0.00796531    0.00499531     -0.00137757    -0.08130705    -0.00193338    
0.57790400     -122.14016513  47.64146792    117.22449662   4.89469012     -0.00777164    0.00488098     -0.00140311    -0.08072048    -0.00186417    
0.58311700     -122.14016513  47.64146792    117.22407663   4.89502139     -0.00739800    0.00520573     -0.00131839    -0.08041191    -0.00183042    
0.58769900     -122.14016513  47.64146792    117.22370854   4.89508659     -0.00736947    0.00576243     -0.00125854    -0.08025610    -0.00193712    
0.59123700     -122.14016513  47.64146792    117.22342505   4.89500257     -0.00753539    0.00588464     -0.00120361    -0.07999703    -0.00204733    
0.59977100     -122.14016513  47.64146792    117.22274645   4.89494577     -0.00755011    0.00546211     -0.00095272    -0.07903740    -0.00207967    
0.60177000     -122.14016513  47.64146792    117.22556356   4.90452101     -0.00758936    0.00561178     -0.00075514    -0.07142644    -0.00173973    
0.60783000     -122.14016513  47.64146792    117.22510918   4.90413956     -0.00769023    0.00527988     -0.00063024    -0.07111130    -0.00169908    
0.61183300     -122.14016513  47.64146792    117.22482487   4.90437914     -0.00755641    0.00570646     -0.00052043    -0.07093385    -0.00170865    
0.61646200     -122.14016513  47.64146792    117.22449701   4.90492750     -0.00766882    0.00577457     -0.00046435    -0.07072128    -0.00154687    
0.62186100     -122.14016513  47.64146792    117.22411618   4.90514905     -0.00771237    0.00617191     -0.00051430    -0.07035546    -0.00149098    
0.62800200     -122.14016513  47.64146792    117.22368573   4.90480721     -0.00709080    0.00636187     -0.00051794    -0.06983095    -0.00157961    
0.63360100     -122.14016513  47.64146792    117.22329570   4.90464621     -0.00677050    0.00695569     -0.00045744    -0.06949294    -0.00155748    
0.63664300     -122.14016513  47.64146792    117.22308464   4.90468658     -0.00745899    0.00728799     -0.00058405    -0.06926706    -0.00166422    
0.64270100     -122.14016513  47.64146792    117.22266594   4.90484967     -0.00746514    0.00743254     -0.00090607    -0.06896343    -0.00169657    
0.64749900     -122.14016513  47.64146792    117.22233504   4.90532381     -0.00689634    0.00696826     -0.00078533    -0.06896937    -0.00133881    
0.65186100     -122.14016513  47.64146792    117.22203459   4.90560814     -0.00682146    0.00669382     -0.00071547    -0.06878825    -0.00105693    
0.65800800     -122.14016513  47.64146792    117.22161300   4.90526297     -0.00672492    0.00696725     -0.00080602    -0.06838232    -0.00116540    
0.66207900     -122.14016513  47.64146792    117.22133484   4.90501370     -0.00709113    0.00699199     -0.00091916    -0.06827002    -0.00132878    
0.66824100     -122.14016513  47.64146792    117.22091437   4.90536303     -0.00712511    0.00673793     -0.00096784    -0.06820409    -0.00144643    
0.67128700     -122.14016513  47.64146792    117.22070682   4.90525691     -0.00754624    0.00632867     -0.00104083    -0.06807261    -0.00145005    
