time           x0             x1             x2             x3             x4             x5             x6             x7             x8             x9             x10            x11            x12            x13            x14            
475.2080       0.0000         0.0000         0.0013         0.0014         0.0002         0.0003         -0.0000        0.0000         -0.0000        -0.0000        0.0000         -0.0000        -0.0000        0.0000         0.0000         
475.3080       0.0000         0.0000         0.0013         0.0013         0.0002         0.0003         -0.0000        0.0000         -0.0000        -0.0000        0.0000         -0.0000        -0.0000        0.0000         0.0000         
475.4062       0.0000         0.0000         0.0012         0.0012         0.0001         0.0004         -0.0000        0.0000         -0.0000        -0.0000        0.0000         -0.0000        -0.0000        0.0000         0.0000         
475.5079       0.0000         0.0000         0.0012         0.0011         0.0001         0.0005         -0.0000        0.0000         -0.0000        -0.0000        0.0000         -0.0000        -0.0000        0.0000         0.0000         
475.6084       0.0000         0.0000         0.0012         0.0011         0.0001         0.0005         -0.0000        0.0000         -0.0000        -0.0000        0.0000         -0.0000        -0.0000        0.0000         0.0000         
475.7078       0.0000         0.0000         0.0011         0.0010         0.0001         0.0006         -0.0000        0.0000         -0.0000        -0.0000        0.0000         -0.0000        -0.0000        0.0000         0.0000         
475.8016       0.0000         0.0000         0.0011         0.0010         0.0001         0.0006         -0.0000        0.0000         -0.0000        -0.0000        0.0000         -0.0000        -0.0000        0.0000         0.0000         
475.9029       0.0000         0.0000         0.0011         0.0009         0.0001         0.0007         -0.0000        0.0000         -0.0000        -0.0000        0.0000         -0.0000        -0.0000        0.0000         0.0000         
476.0054       0.0000         0.0000         0.0011         0.0008         0.0001         0.0007         -0.0000        0.0000         -0.0000        -0.0000        0.0000         -0.0000        -0.0000        0.0000         0.0000         
476.1054       0.0000         0.0000         0.0010         0.0008         0.0001         0.0008         -0.0000        0.0000         -0.0000        -0.0000        0.0000         -0.0000        -0.0000        0.0000         0.0000         
476.2082       0.0000         0.0000         0.0009         0.0007         0.0001         0.0008         -0.0000        0.0000         -0.0000        -0.0000        0.0000         -0.0000        -0.0000        0.0000         0.0000         
476.3025       0.0000         0.0000         0.0008         0.0007         0.0001         0.0008         -0.0000        0.0000         -0.0000        -0.0000        0.0000         -0.0000        -0.0000        0.0000         0.0000         
476.4086       0.0000         0.0000         0.0008         0.0007         0.0001         0.0009         -0.0000        0.0000         -0.0000        -0.0000        0.0000         -0.0000        -0.0000        0.0000         0.0000         
476.5025       0.0000         0.0000         0.0007         0.0006         0.0001         0.0009         -0.0000        0.0000         -0.0000        -0.0000        0.0000         -0.0000        -0.0000        0.0000         0.0000         
