# time_s	timestamp_ns	latitude	longitude	altitude	vx	vy	vz
416.557769	1785413520830815744	47.64368088234746	-122.13852742940813	218.5379638671875	-0.006583295296877623	-0.0030152909457683563	2.9608676433563232
416.562058	1785413520830815744	47.64368088234746	-122.13852742940813	218.5379638671875	-0.006583295296877623	-0.0030152909457683563	2.9608676433563232
416.567391	1785413520830815744	47.64368088234746	-122.13852742940813	218.5379638671875	-0.006583295296877623	-0.0030152909457683563	2.9608676433563232
416.572772	1785413520851816192	47.643680881375026	-122.13852660209878	218.5379180908203	-0.006583299953490496	-0.003015282563865185	2.9608676433563232
416.578003	1785413520851816192	47.643680881375026	-122.13852660209878	218.5379180908203	-0.006583299953490496	-0.003015282563865185	2.9608676433563232
416.582258	1785413520851816192	47.643680881375026	-122.13852660209878	218.5379180908203	-0.006583299953490496	-0.003015282563865185	2.9608676433563232
416.587543	1785413520851816192	47.643680881375026	-122.13852660209878	218.5379180908203	-0.006583299953490496	-0.003015282563865185	2.9608676433563232
416.591922	1785413520872816640	47.64368088040257	-122.13852577478944	218.53787231445312	-0.006583301350474358	-0.003015282563865185	2.9608676433563232
416.597412	1785413520872816640	47.64368088040257	-122.13852577478944	218.53787231445312	-0.006583301350474358	-0.003015282563865185	2.9608676433563232
416.602466	1785413520872816640	47.64368088040257	-122.13852577478944	218.53787231445312	-0.006583301350474358	-0.003015282563865185	2.9608676433563232
416.607678	1785413520872816640	47.64368088040257	-122.13852577478944	218.53787231445312	-0.006583301350474358	-0.003015282563865185	2.9608676433563232
416.631921	1785413520914817536	47.643680878457666	-122.13852412017071	218.5377655029297	-0.006583303678780794	-0.003015282563865185	2.9608676433563232
416.634248	1785413520914817536	47.643680878457666	-122.13852412017071	218.5377655029297	-0.006583303678780794	-0.003015282563865185	2.9608676433563232
416.636255	1785413520914817536	47.643680878457666	-122.13852412017071	218.5377655029297	-0.006583303678780794	-0.003015282563865185	2.9608676433563232
416.638116	1785413520914817536	47.643680878457666	-122.13852412017071	218.5377655029297	-0.006583303678780794	-0.003015282563865185	2.9608676433563232
416.639957	1785413520914817536	47.643680878457666	-122.13852412017071	218.5377655029297	-0.006583303678780794	-0.003015282563865185	2.9608676433563232
416.642468	1785413520914817536	47.643680878457666	-122.13852412017071	218.5377655029297	-0.006583303678780794	-0.003015282563865185	2.9608676433563232
416.644382	1785413520914817536	47.643680878457666	-122.13852412017071	218.5377655029297	-0.006583303678780794	-0.003015282563865185	2.9608676433563232
416.647416	1785413520914817536	47.643680878457666	-122.13852412017071	218.5377655029297	-0.006583303678780794	-0.003015282563865185	2.9608676433563232
416.651595	1785413520914817536	47.643680878457666	-122.13852412017071	218.5377655029297	-0.006583303678780794	-0.003015282563865185	2.9608676433563232
416.657778	1785413520935817984	47.643680877485195	-122.13852329286138	218.53770446777344	-0.006583303678780794	-0.003015282563865185	2.9608676433563232
416.661849	1785413520935817984	47.643680877485195	-122.13852329286138	218.53770446777344	-0.006583303678780794	-0.003015282563865185	2.9608676433563232
416.668065	1785413520935817984	47.643680877485195	-122.13852329286138	218.53770446777344	-0.006583303678780794	-0.003015282563865185	2.9608676433563232
416.672115	1785413520935817984	47.643680877485195	-122.13852329286138	218.53770446777344	-0.006583303678780794	-0.003015282563865185	2.9608676433563232
416.679140	1785413520956818432	47.64368087651273	-122.13852246555203	218.53765869140625	-0.006583303678780794	-0.003015282563865185	2.9608676433563232
416.683159	1785413520956818432	47.64368087651273	-122.13852246555203	218.53765869140625	-0.006583303678780794	-0.003015282563865185	2.9608676433563232
416.687199	1785413520956818432	47.64368087651273	-122.13852246555203	218.53765869140625	-0.006583303678780794	-0.003015282563865185	2.9608676433563232
416.693223	1785413520956818432	47.64368087651273	-122.13852246555203	218.53765869140625	-0.006583303678780794	-0.003015282563865185	2.9608676433563232
416.697344	1785413520977818880	47.643680875540255	-122.13852163824268	218.53761291503906	-0.006583303678780794	-0.003015282563865185	2.9608676433563232
416.702409	1785413520977818880	47.643680875540255	-122.13852163824268	218.53761291503906	-0.006583303678780794	-0.003015282563865185	2.9608676433563232
416.707934	1785413520977818880	47.643680875540255	-122.13852163824268	218.53761291503906	-0.006583303678780794	-0.003015282563865185	2.9608676433563232
416.711964	1785413520977818880	47.643680875540255	-122.13852163824268	218.53761291503906	-0.006583303678780794	-0.003015282563865185	2.9608676433563232
416.717417	1785413520998819328	47.64368087456778	-122.13852081093334	218.5375518798828	-0.006583303678780794	-0.003015282563865185	2.9608676433563232
416.721646	1785413520998819328	47.64368087456778	-122.13852081093334	218.5375518798828	-0.006583303678780794	-0.003015282563865185	2.9608676433563232
416.727633	1785413520998819328	47.64368087456778	-122.13852081093334	218.5375518798828	-0.006583303678780794	-0.003015282563865185	2.9608676433563232
416.732258	1785413520998819328	47.64368087456778	-122.13852081093334	218.5375518798828	-0.006583303678780794	-0.003015282563865185	2.9608676433563232
416.738383	1785413521019819776	47.64368087359529	-122.138519983624	218.53750610351562	-0.0065833027474582195	-0.003015282563865185	2.9608676433563232
416.765249	1785413521040820224	47.6436808726228	-122.13851915631466	218.53744506835938	-0.006583299487829208	-0.003015282563865185	2.9608676433563232
416.767936	1785413521040820224	47.6436808726228	-122.13851915631466	218.53744506835938	-0.006583299487829208	-0.003015282563865185	2.9608676433563232
416.770109	1785413521040820224	47.6436808726228	-122.13851915631466	218.53744506835938	-0.006583299487829208	-0.003015282563865185	2.9608676433563232
416.772732	1785413521040820224	47.6436808726228	-122.13851915631466	218.53744506835938	-0.006583299487829208	-0.003015282563865185	2.9608676433563232
416.774055	1785413521040820224	47.6436808726228	-122.13851915631466	218.53744506835938	-0.006583299487829208	-0.003015282563865185	2.9608676433563232
416.776066	1785413521040820224	47.6436808726228	-122.13851915631466	218.53744506835938	-0.006583299487829208	-0.003015282563865185	2.9608676433563232
416.779086	1785413521040820224	47.6436808726228	-122.13851915631466	218.53744506835938	-0.006583299487829208	-0.003015282563865185	2.9608676433563232
416.781106	1785413521061820672	47.6436808716503	-122.13851832900531	218.5373992919922	-0.006583296228200197	-0.003015282563865185	2.9608676433563232
416.783119	1785413521061820672	47.6436808716503	-122.13851832900531	218.5373992919922	-0.006583296228200197	-0.003015282563865185	2.9608676433563232
416.787576	1785413521061820672	47.6436808716503	-122.13851832900531	218.5373992919922	-0.006583296228200197	-0.003015282563865185	2.9608676433563232
416.792856	1785413521061820672	47.6436808716503	-122.13851832900531	218.5373992919922	-0.006583296228200197	-0.003015282563865185	2.9608676433563232
416.797957	1785413521061820672	47.6436808716503	-122.13851832900531	218.5373992919922	-0.006583296228200197	-0.003015282563865185	2.9608676433563232
416.802796	1785413521082821120	47.643680870677784	-122.13851750169596	218.53733825683594	-0.0065832906402647495	-0.003015282563865185	2.9608676433563232
416.807331	1785413521082821120	47.643680870677784	-122.13851750169596	218.53733825683594	-0.0065832906402647495	-0.003015282563865185	2.9608676433563232
416.812204	1785413521082821120	47.643680870677784	-122.13851750169596	218.53733825683594	-0.0065832906402647495	-0.003015282563865185	2.9608676433563232
416.818006	1785413521082821120	47.643680870677784	-122.13851750169596	218.53733825683594	-0.0065832906402647495	-0.003015282563865185	2.9608676433563232
416.823073	1785413521103821568	47.64368086970528	-122.13851667438662	218.53729248046875	-0.006583284121006727	-0.003015282563865185	2.9608676433563232
416.827089	1785413521103821568	47.64368086970528	-122.13851667438662	218.53729248046875	-0.006583284121006727	-0.003015282563865185	2.9608676433563232
416.831738	1785413521103821568	47.64368086970528	-122.13851667438662	218.53729248046875	-0.006583284121006727	-0.003015282563865185	2.9608676433563232
416.837849	1785413521103821568	47.64368086970528	-122.13851667438662	218.53729248046875	-0.006583284121006727	-0.003015282563865185	2.9608676433563232
416.842090	1785413521124822016	47.64368086873276	-122.13851584707724	218.53724670410156	-0.006583277601748705	-0.003015282563865185	2.9608676433563232
416.847329	1785413521124822016	47.64368086873276	-122.13851584707724	218.53724670410156	-0.006583277601748705	-0.003015282563865185	2.9608676433563232
416.852092	1785413521124822016	47.64368086873276	-122.13851584707724	218.53724670410156	-0.006583277601748705	-0.003015282563865185	2.9608676433563232
416.857716	1785413521124822016	47.64368086873276	-122.13851584707724	218.53724670410156	-0.006583277601748705	-0.003015282563865185	2.9608676433563232
416.862972	1785413521145822464	47.64368086776023	-122.13851501976791	218.5371856689453	-0.0065832724794745445	-0.003015282563865185	2.9608676433563232
416.867368	1785413521145822464	47.64368086776023	-122.13851501976791	218.5371856689453	-0.0065832724794745445	-0.003015282563865185	2.9608676433563232
416.871789	1785413521145822464	47.64368086776023	-122.13851501976791	218.5371856689453	-0.0065832724794745445	-0.003015282563865185	2.9608676433563232
416.877907	1785413521145822464	47.64368086776023	-122.13851501976791	218.5371856689453	-0.0065832724794745445	-0.003015282563865185	2.9608676433563232
416.881923	1785413521145822464	47.64368086776023	-122.13851501976791	218.5371856689453	-0.0065832724794745445	-0.003015282563865185	2.9608676433563232
416.888025	1785413521166822912	47.64368086678771	-122.13851419245856	218.53713989257812	-0.0065832724794745445	-0.003015282563865185	2.9608676433563232
416.894236	1785413521166822912	47.64368086678771	-122.13851419245856	218.53713989257812	-0.0065832724794745445	-0.003015282563865185	2.9608676433563232
416.919333	1785413521187823360	47.64368086581517	-122.13851336514921	218.53707885742188	-0.006583270151168108	-0.003015282563865185	2.9608676433563232
416.921339	1785413521187823360	47.64368086581517	-122.13851336514921	218.53707885742188	-0.006583270151168108	-0.003015282563865185	2.9608676433563232
416.923537	1785413521187823360	47.64368086581517	-122.13851336514921	218.53707885742188	-0.006583270151168108	-0.003015282563865185	2.9608676433563232
416.925568	1785413521187823360	47.64368086581517	-122.13851336514921	218.53707885742188	-0.006583270151168108	-0.003015282563865185	2.9608676433563232
416.927516	1785413521208823808	47.643680864842636	-122.13851253783987	218.5370330810547	-0.006583266891539097	-0.003015282563865185	2.9608676433563232
416.930275	1785413521208823808	47.643680864842636	-122.13851253783987	218.5370330810547	-0.006583266891539097	-0.003015282563865185	2.9608676433563232
416.933414	1785413521208823808	47.643680864842636	-122.13851253783987	218.5370330810547	-0.006583266891539097	-0.003015282563865185	2.9608676433563232
416.936452	1785413521208823808	47.643680864842636	-122.13851253783987	218.5370330810547	-0.006583266891539097	-0.003015282563865185	2.9608676433563232
416.938462	1785413521208823808	47.643680864842636	-122.13851253783987	218.5370330810547	-0.006583266891539097	-0.003015282563865185	2.9608676433563232
416.942480	1785413521208823808	47.643680864842636	-122.13851253783987	218.5370330810547	-0.006583266891539097	-0.003015282563865185	2.9608676433563232
416.946583	1785413521229824256	47.64368086387009	-122.13851171053052	218.53697204589844	-0.006583263631910086	-0.003015282563865185	2.9608676433563232
416.953229	1785413521229824256	47.64368086387009	-122.13851171053052	218.53697204589844	-0.006583263631910086	-0.003015282563865185	2.9608676433563232
416.957269	1785413521229824256	47.64368086387009	-122.13851171053052	218.53697204589844	-0.006583263631910086	-0.003015282563865185	2.9608676433563232
416.961727	1785413521229824256	47.64368086387009	-122.13851171053052	218.53697204589844	-0.006583263631910086	-0.003015282563865185	2.9608676433563232
416.967134	1785413521229824256	47.64368086387009	-122.13851171053052	218.53697204589844	-0.006583263631910086	-0.003015282563865185	2.9608676433563232
416.973389	1785413521250824704	47.64368086289753	-122.13851088322117	218.53692626953125	-0.0065832603722810745	-0.003015282563865185	2.9608676433563232
416.977446	1785413521250824704	47.64368086289753	-122.13851088322117	218.53692626953125	-0.0065832603722810745	-0.003015282563865185	2.9608676433563232
416.981653	1785413521250824704	47.64368086289753	-122.13851088322117	218.53692626953125	-0.0065832603722810745	-0.003015282563865185	2.9608676433563232
416.988130	1785413521250824704	47.64368086289753	-122.13851088322117	218.53692626953125	-0.0065832603722810745	-0.003015282563865185	2.9608676433563232
416.992227	1785413521271825152	47.64368086192497	-122.13851005591184	218.53688049316406	-0.006583257112652063	-0.003015282563865185	2.9608676433563232
416.997253	1785413521271825152	47.64368086192497	-122.13851005591184	218.53688049316406	-0.006583257112652063	-0.003015282563865185	2.9608676433563232
417.001638	1785413521271825152	47.64368086192497	-122.13851005591184	218.53688049316406	-0.006583257112652063	-0.003015282563865185	2.9608676433563232
417.007856	1785413521271825152	47.64368086192497	-122.13851005591184	218.53688049316406	-0.006583257112652063	-0.003015282563865185	2.9608676433563232
417.013057	1785413521292825600	47.6436808609524	-122.13850922860249	218.5368194580078	-0.006583253853023052	-0.003015282563865185	2.9608676433563232
417.017350	1785413521292825600	47.6436808609524	-122.13850922860249	218.5368194580078	-0.006583253853023052	-0.003015282563865185	2.9608676433563232
